Tom Wilkinson: Restricted 3-Body Force problem
Initial values: x0=0.001000 y0=0.000000 vel_x0=2.210000 vel_y0=0.000000 m+=2.100000 m-=2.100000
x y t
0.342715 0.000000 0.149500
0.343940 0.000000 0.150000
0.345167 0.000000 0.150500
0.346394 0.000000 0.151000
0.347622 0.000000 0.151500
0.348851 0.000000 0.152000
0.350081 0.000000 0.152500
0.351312 0.000000 0.153000
0.352545 0.000000 0.153500
0.353777 0.000000 0.154000
0.355011 0.000000 0.154500
0.356246 0.000000 0.155000
0.357482 0.000000 0.155500
0.358719 0.000000 0.156000
0.359957 0.000000 0.156500
0.361196 0.000000 0.157000
0.362436 0.000000 0.157500
0.363677 0.000000 0.158000
0.364919 0.000000 0.158500
0.366162 0.000000 0.159000
0.367406 0.000000 0.159500
0.368651 0.000000 0.160000
0.369897 0.000000 0.160500
0.371144 0.000000 0.161000
0.372392 0.000000 0.161500
0.373641 0.000000 0.162000
0.374891 0.000000 0.162500
0.376143 0.000000 0.163000
0.377395 0.000000 0.163500
0.378648 0.000000 0.164000
0.379903 0.000000 0.164500
0.381159 0.000000 0.165000
0.382415 0.000000 0.165500
0.383673 0.000000 0.166000
0.384932 0.000000 0.166500
0.386192 0.000000 0.167000
0.387453 0.000000 0.167500
0.388716 0.000000 0.168000
0.389979 0.000000 0.168500
0.391244 0.000000 0.169000
0.392509 0.000000 0.169500
0.393776 0.000000 0.170000
0.395044 0.000000 0.170500
0.396313 0.000000 0.171000
0.397584 0.000000 0.171500
0.398855 0.000000 0.172000
0.400128 0.000000 0.172500
0.401402 0.000000 0.173000
0.402677 0.000000 0.173500
0.403953 0.000000 0.174000
0.405231 0.000000 0.174500
0.406510 0.000000 0.175000
0.407790 0.000000 0.175500
0.409071 0.000000 0.176000
0.410353 0.000000 0.176500
0.411637 0.000000 0.176999
0.412922 0.000000 0.177499
0.414208 0.000000 0.177999
0.415496 0.000000 0.178499
0.416784 0.000000 0.178999
0.418075 0.000000 0.179499
0.419366 0.000000 0.179999
0.420659 0.000000 0.180499
0.421952 0.000000 0.180999
0.423248 0.000000 0.181499
0.424544 0.000000 0.181999
0.425842 0.000000 0.182499
0.427142 0.000000 0.182999
0.428442 0.000000 0.183499
0.429744 0.000000 0.183999
0.431047 0.000000 0.184499
0.432352 0.000000 0.184999
0.433658 0.000000 0.185499
0.434966 0.000000 0.185999
0.436274 0.000000 0.186499
0.437585 0.000000 0.186999
0.438896 0.000000 0.187499
0.440209 0.000000 0.187999
0.441524 0.000000 0.188499
0.442840 0.000000 0.188999
0.444157 0.000000 0.189499
0.445476 0.000000 0.189999
0.446796 0.000000 0.190499
0.448118 0.000000 0.190999
0.449441 0.000000 0.191499
0.450765 0.000000 0.191999
0.452092 0.000000 0.192499
0.453419 0.000000 0.192999
0.454748 0.000000 0.193499
0.456079 0.000000 0.193999
0.457411 0.000000 0.194499
0.458745 0.000000 0.194999
0.460080 0.000000 0.195499
0.461417 0.000000 0.195999
0.462756 0.000000 0.196499
0.464096 0.000000 0.196999
0.465437 0.000000 0.197499
0.466780 0.000000 0.197999
0.468125 0.000000 0.198499
0.469471 0.000000 0.198999
0.470819 0.000000 0.199499
0.472169 0.000000 0.199999
0.473520 0.000000 0.200499
0.474873 0.000000 0.200999
0.476228 0.000000 0.201499
0.477584 0.000000 0.201999
0.478942 0.000000 0.202499
0.480301 0.000000 0.202999
0.481662 0.000000 0.203499
0.483025 0.000000 0.203999
0.484390 0.000000 0.204499
0.485757 0.000000 0.204999
0.487125 0.000000 0.205499
0.488495 0.000000 0.205999
0.489867 0.000000 0.206499
0.491240 0.000000 0.206999
0.492615 0.000000 0.207499
0.493993 0.000000 0.207999
0.495372 0.000000 0.208499
0.496752 0.000000 0.208999
0.498135 0.000000 0.209499
0.499519 0.000000 0.209999
0.500906 0.000000 0.210499
0.502294 0.000000 0.210999
0.503684 0.000000 0.211499
0.505076 0.000000 0.211999
0.506470 0.000000 0.212499
0.507866 0.000000 0.212999
0.509264 0.000000 0.213499
0.510663 0.000000 0.213999
0.512065 0.000000 0.214499
0.513469 0.000000 0.214999
0.514874 0.000000 0.215499
0.516282 0.000000 0.215999
0.517691 0.000000 0.216499
0.519103 0.000000 0.216999
0.520517 0.000000 0.217499
0.521933 0.000000 0.217999
0.523350 0.000000 0.218499
0.524770 0.000000 0.218999
0.526192 0.000000 0.219499
0.527617 0.000000 0.219999
0.529043 0.000000 0.220499
0.530471 0.000000 0.220999
0.531902 0.000000 0.221499
0.533335 0.000000 0.221999
0.534769 0.000000 0.222499
0.536207 0.000000 0.222999
0.537646 0.000000 0.223499
0.539087 0.000000 0.223999
0.540531 0.000000 0.224499
0.541977 0.000000 0.224999
0.543426 0.000000 0.225499
0.544876 0.000000 0.225999
0.546329 0.000000 0.226499
0.547785 0.000000 0.226999
0.549242 0.000000 0.227499
0.550702 0.000000 0.227999
0.552165 0.000000 0.228499
0.553629 0.000000 0.228999
0.555097 0.000000 0.229499
0.556566 0.000000 0.229999
0.558038 0.000000 0.230499
0.559513 0.000000 0.230999
0.560990 0.000000 0.231499
0.562470 0.000000 0.231999
0.563952 0.000000 0.232499
0.565436 0.000000 0.232999
0.566924 0.000000 0.233499
0.568413 0.000000 0.233999
0.569906 0.000000 0.234499
0.571401 0.000000 0.234999
0.572898 0.000000 0.235499
0.574399 0.000000 0.235999
0.575902 0.000000 0.236499
0.577407 0.000000 0.236999
0.578916 0.000000 0.237499
0.580427 0.000000 0.237999
0.581941 0.000000 0.238499
0.583458 0.000000 0.238999
0.584977 0.000000 0.239499
0.586500 0.000000 0.239999
0.588025 0.000000 0.240499
0.589553 0.000000 0.240999
0.591084 0.000000 0.241499
0.592618 0.000000 0.241999
0.594155 0.000000 0.242499
0.595695 0.000000 0.242999
0.597238 0.000000 0.243499
0.598784 0.000000 0.243999
0.600333 0.000000 0.244499
0.601885 0.000000 0.244999
0.603440 0.000000 0.245499
0.604999 0.000000 0.245999
0.606560 0.000000 0.246499
0.608125 0.000000 0.246999
0.609693 0.000000 0.247499
0.611264 0.000000 0.247999
0.612838 0.000000 0.248499
0.614416 0.000000 0.248999
0.615997 0.000000 0.249499
0.617581 0.000000 0.249999
0.619169 0.000000 0.250499
0.620760 0.000000 0.250999
0.622355 0.000000 0.251499
0.623953 0.000000 0.251999
0.625554 0.000000 0.252499
0.627159 0.000000 0.252999
0.628768 0.000000 0.253499
0.630380 0.000000 0.253999
0.631996 0.000000 0.254499
0.633616 0.000000 0.254999
0.635239 0.000000 0.255498
0.636866 0.000000 0.255998
0.638497 0.000000 0.256498
0.640132 0.000000 0.256998
0.641771 0.000000 0.257498
0.643413 0.000000 0.257998
0.645059 0.000000 0.258498
0.646710 0.000000 0.258998
0.648364 0.000000 0.259498
0.650023 0.000000 0.259998
0.651685 0.000000 0.260498
0.653352 0.000000 0.260998
0.655023 0.000000 0.261498
0.656698 0.000000 0.261998
0.658377 0.000000 0.262498
0.660061 0.000000 0.262998
0.661749 0.000000 0.263498
0.663441 0.000000 0.263998
0.665138 0.000000 0.264498
0.666839 0.000000 0.264998
0.668545 0.000000 0.265498
0.670256 0.000000 0.265998
0.671971 0.000000 0.266498
0.673691 0.000000 0.266998
0.675415 0.000000 0.267498
0.677145 0.000000 0.267998
0.678879 0.000000 0.268498
0.680618 0.000000 0.268998
0.682362 0.000000 0.269498
0.684111 0.000000 0.269998
0.685865 0.000000 0.270498
0.687624 0.000000 0.270998
0.689389 0.000000 0.271498
0.691159 0.000000 0.271998
0.692933 0.000000 0.272498
0.694714 0.000000 0.272998
0.696500 0.000000 0.273498
0.698291 0.000000 0.273998
0.700088 0.000000 0.274498
0.701890 0.000000 0.274998
0.703699 0.000000 0.275498
0.705513 0.000000 0.275998
0.707333 0.000000 0.276498
0.709159 0.000000 0.276998
0.710991 0.000000 0.277498
0.712829 0.000000 0.277998
0.714673 0.000000 0.278498
0.716523 0.000000 0.278998
0.718380 0.000000 0.279498
0.720243 0.000000 0.279998
0.722113 0.000000 0.280498
0.723990 0.000000 0.280998
0.725873 0.000000 0.281498
0.727763 0.000000 0.281998
0.729660 0.000000 0.282498
0.731564 0.000000 0.282998
0.733475 0.000000 0.283498
0.735393 0.000000 0.283998
0.737319 0.000000 0.284498
0.739252 0.000000 0.284998
0.741192 0.000000 0.285498
0.743141 0.000000 0.285998
0.745097 0.000000 0.286498
0.747061 0.000000 0.286998
0.749033 0.000000 0.287498
0.751013 0.000000 0.287998
0.753002 0.000000 0.288498
0.754999 0.000000 0.288998
0.757004 0.000000 0.289498
0.759019 0.000000 0.289998
0.761042 0.000000 0.290498
0.763074 0.000000 0.290998
0.765115 0.000000 0.291498
0.767166 0.000000 0.291998
0.769226 0.000000 0.292498
0.771296 0.000000 0.292998
0.773376 0.000000 0.293498
0.775466 0.000000 0.293998
0.777566 0.000000 0.294498
0.779677 0.000000 0.294998
0.781798 0.000000 0.295498
0.783930 0.000000 0.295998
0.786073 0.000000 0.296498
0.788228 0.000000 0.296998
0.790394 0.000000 0.297498
0.792572 0.000000 0.297998
0.794762 0.000000 0.298498
0.796964 0.000000 0.298998
0.799179 0.000000 0.299498
0.801406 0.000000 0.299998
0.803647 0.000000 0.300498
0.805901 0.000000 0.300998
0.808170 0.000000 0.301498
0.810452 0.000000 0.301998
0.812748 0.000000 0.302498
0.815060 0.000000 0.302998
0.817387 0.000000 0.303498
0.819729 0.000000 0.303998
0.822087 0.000000 0.304498
0.824462 0.000000 0.304998
0.826853 0.000000 0.305498
0.829262 0.000000 0.305998
0.831689 0.000000 0.306498
0.834134 0.000000 0.306998
0.836598 0.000000 0.307498
0.839081 0.000000 0.307998
0.841585 0.000000 0.308498
0.844110 0.000000 0.308998
0.846655 0.000000 0.309498
0.849223 0.000000 0.309998
0.851815 0.000000 0.310498
0.854429 0.000000 0.310998
0.857069 0.000000 0.311498
0.859734 0.000000 0.311998
0.862425 0.000000 0.312498
0.865144 0.000000 0.312998
0.867892 0.000000 0.313498
0.870670 0.000000 0.313998
0.873479 0.000000 0.314498
0.876321 0.000000 0.314998
0.879196 0.000000 0.315498
0.882108 0.000000 0.315998
0.885057 0.000000 0.316498
0.888046 0.000000 0.316998
0.891077 0.000000 0.317498
0.894151 0.000000 0.317998
0.897273 0.000000 0.318498
0.900444 0.000000 0.318998
0.903667 0.000000 0.319498
0.906948 0.000000 0.319998
0.910288 0.000000 0.320498
0.913694 0.000000 0.320998
0.917170 0.000000 0.321498
0.920723 0.000000 0.321998
0.924359 0.000000 0.322498
0.928086 0.000000 0.322998
0.931915 0.000000 0.323498
0.935857 0.000000 0.323998
0.939926 0.000000 0.324498
0.944141 0.000000 0.324998
0.948524 0.000000 0.325498
0.953105 0.000000 0.325998
